category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
general_fund,889.8,870.8,895.8,799.9,707.9,653.9,674.4,931.7,509.4,890.6,873.2,851.4
grants_revenue,-17.2,-0.6,24.6,14.3,-74.0,-112.2,-138.9,-184.1,-210.1,-202.6,-184.7,-125.7
community_development,-2.5,-1.4,-1.6,0.7,-4.3,-4.8,-6.5,-5.2,-4.7,-1.0,-0.4,-6.5
vehicle_rental_tax,5.0,5.7,6.4,7.0,2.9,3.3,3.7,4.1,4.4,4.9,5.3,5.8
hospital_assessment_fund,20.5,20.0,45.8,22.1,11.4,20.1,12.2,11.2,20.1,11.6,31.4,13.8
housing_trust_fund,58.5,56.4,55.4,62.2,60.1,58.0,55.9,53.8,51.7,49.6,47.5,58.7
budget_stabilization_fund,34.3,34.3,34.3,34.3,34.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3
other_funds,10.9,10.1,9.8,9.6,8.9,8.7,8.9,8.2,7.7,7.8,7.8,7.5
total_operating_funds,999.2,995.4,1070.4,950.1,747.3,681.5,664.1,874.0,432.8,815.2,834.4,859.3
capital_improvement,102.6,451.0,425.5,409.6,394.6,379.6,364.6,349.6,334.6,319.6,304.6,289.6
industrial_commercial_dev,10.1,10.1,10.1,10.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
total_capital_funds,112.7,461.0,435.6,419.6,404.6,389.6,374.6,359.6,344.6,329.6,314.6,299.6
total_fund_equity,1111.9,1456.5,1506.0,1369.8,1151.9,1071.1,1038.7,1233.6,777.4,1144.7,1149.0,1158.9
