category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,7.6,6.9,5.6,5.3,4.0,14.0,35.0,177.7,116.3,23.3,6.4,5.8
wage_earnings_net_profits,94.4,105.3,82.7,93.5,103.5,85.8,114.2,84.3,83.6,105.4,121.4,81.9
realty_transfer_tax,20.5,23.2,17.3,16.9,18.0,19.3,19.1,11.5,15.3,17.4,17.7,13.7
sales_tax,11.3,12.5,10.7,10.7,12.1,10.1,10.2,14.3,10.3,10.8,10.5,11.6
birt,5.0,2.7,12.1,20.9,1.3,17.0,6.6,15.8,1.8,116.5,127.0,81.3
other_taxes,5.3,7.6,5.0,4.0,4.1,4.3,4.7,6.5,6.3,8.9,7.2,6.6
locally_generated_non_tax,15.0,18.2,21.2,19.5,18.0,20.5,25.7,22.6,21.3,18.4,19.1,20.8
total_other_govts,0.0,116.0,105.7,88.4,22.5,17.9,35.0,27.0,47.6,134.8,6.6,21.8
total_pica_other_govts,16.3,27.8,0.0,22.4,24.5,0.0,24.6,22.8,21.2,15.9,29.6,23.6
interfund_transfers,0.2,0.5,0.5,0.0,0.5,0.4,0.5,0.5,0.5,0.5,0.5,21.3
total_current_revenue,175.6,320.7,260.8,281.6,208.5,189.3,275.6,382.9,324.1,451.9,345.9,288.6
prior_year_revenue,106.6,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
total_cash_receipts,289.2,345.8,260.8,281.6,208.5,189.3,275.6,382.9,324.1,451.9,345.9,285.6
