category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
payroll,60.0,151.2,105.8,115.8,105.1,101.8,153.1,100.6,103.2,111.6,103.6,153.6
employee_benefits,37.7,45.2,35.8,51.6,38.4,64.7,53.5,50.4,43.4,44.1,45.3,34.8
pension,3.7,363.0,-2.6,16.5,-2.1,-2.6,1.4,-1.5,-2.5,63.7,-1.6,1.3
purchases_of_services,23.9,73.0,82.6,89.7,109.3,97.2,92.0,109.0,88.8,107.0,83.7,93.9
materials_equipment,5.8,6.5,6.8,6.0,5.6,8.5,7.9,6.1,6.1,5.6,7.7,3.2
contributions_indemnities,16.1,5.3,7.8,2.4,0.1,6.2,2.2,2.4,9.3,6.1,0.9,61.1
debt_service_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
debt_service_long,6.1,2.3,18.8,0.4,7.2,2.3,11.5,7.5,9.7,0.9,11.1,1.4
interfund_charges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9
advances_misc_payments,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_year_appropriation,185.6,646.5,255.0,282.4,263.6,278.1,321.6,274.5,258.0,339.0,250.7,388.2
prior_year_expenditures_against_encumbrances,60.3,37.7,12.3,11.5,8.0,21.5,6.1,2.6,11.7,6.3,1.3,0.7
prior_year_salaries_vouchers_payable,67.9,46.3,11.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_disbursements,313.8,730.5,279.2,294.9,271.6,299.6,327.7,277.1,269.7,345.3,252.0,388.9
