category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
payroll,73.4,186.7,138.4,144.4,129.4,130.7,202.3,124.5,128.6,124.5,147.2,138.7
employee_benefits,47.8,48.5,49.6,51.5,48.9,66.8,47.0,45.7,52.2,53.5,53.5,50.3
pension,3.7,-5.7,4.2,69.6,-5.5,-2.3,-5.3,-1.7,606.2,17.0,-2.0,-2.5
purchases_of_services,38.0,55.6,55.4,63.1,84.9,62.9,55.7,56.2,96.8,52.4,67.3,87.2
materials_equipment,3.6,3.8,8.0,7.1,4.2,5.6,5.6,6.2,7.0,7.6,7.2,9.8
contributions_indemnities,16.7,5.5,56.3,5.6,15.8,48.2,4.7,3.6,55.5,5.7,4.1,65.3
debt_service_short,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,6.8
debt_service_long,111.0,0.5,0.0,0.0,10.1,7.2,29.2,0.5,0.0,0.1,0.1,3.6
interfund_charges,3.8,0.0,0.0,0.0,2.6,0.0,19.1,0.0,0.0,0.0,0.5,25.7
advances_misc_payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,26.8
current_year_appropriation,298.0,294.8,312.0,341.4,290.4,319.0,358.5,235.1,946.4,260.7,304.7,411.8
prior_year_expenditures_against_encumbrances,39.1,25.7,17.8,11.6,5.4,5.6,8.0,2.0,6.1,2.3,1.6,1.8
prior_year_salaries_vouchers_payable,90.5,27.8,-36.1,144.2,21.3,1.2,-9.5,11.0,-108.4,111.5,0.0,0.0
total_disbursements,427.6,348.2,293.7,497.2,317.1,325.8,357.0,248.0,844.0,374.5,306.3,413.6
