category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
payroll,71.0,113.0,102.2,101.4,142.8,100.4,116.5,99.2,106.7,99.0,148.7,102.5
employee_benefits,34.8,42.7,36.1,37.7,45.9,43.5,48.1,29.7,48.9,32.4,43.0,54.5
pension,3.7,-4.2,6.4,59.4,-4.8,-8.2,-1.3,104.5,303.6,159.3,-1.5,-2.4
purchases_of_services,46.8,46.3,61.4,66.9,61.9,47.4,65.2,51.6,78.9,66.6,43.5,35.0
materials_equipment,3.9,4.7,7.9,5.8,5.5,5.3,7.0,4.2,4.6,5.5,3.9,5.7
contributions_indemnities,13.0,3.3,4.5,10.5,40.0,8.9,5.3,1.8,12.1,4.7,32.5,1.6
debt_service_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
debt_service_long,8.4,62.9,0.0,0.0,5.1,4.7,30.6,0.9,0.2,0.0,5.0,0.0
interfund_charges,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
advances_misc_payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_year_appropriation,181.6,269.2,218.5,281.7,296.2,202.5,271.2,292.0,555.1,367.6,275.0,198.0
prior_year_expenditures_against_encumbrances,28.0,11.0,6.6,2.8,2.9,1.9,1.6,5.4,1.2,1.1,0.4,1.1
prior_year_salaries_vouchers_payable,31.3,49.6,-22.4,34.7,-36.5,42.5,-33.2,20.5,-147.6,145.4,22.1,-7.1
total_disbursements,240.8,329.8,202.7,319.2,262.7,247.0,239.6,317.8,408.8,514.1,297.5,192.0
