category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
general_fund,268.3,213.0,210.2,222.7,175.1,278.0,328.7,547.0,475.7,491.8,383.9,296.8
grants_revenue,-80.8,34.0,41.6,-8.6,-69.7,-114.5,-87.0,-155.3,-61.7,-34.7,-106.3,-123.7
community_development,-7.6,-5.1,-4.4,2.6,-5.9,-1.9,-3.2,-5.6,-10.5,-2.8,-6.4,-7.4
vehicle_rental_tax,6.4,7.0,7.5,7.9,8.4,8.8,9.3,9.6,5.0,5.4,4.9,5.4
hospital_assessment_fund,10.3,9.6,11.4,10.8,10.4,30.8,9.1,8.5,32.1,10.3,26.3,16.6
housing_trust_fund,12.2,12.5,13.0,13.6,14.1,14.3,14.6,15.1,15.0,15.4,13.3,13.7
other_funds,25.2,30.9,28.3,39.3,25.2,27.9,12.9,-4.0,3.5,18.1,11.7,25.3
total_operating_funds,234.1,301.8,367.6,288.3,157.6,243.4,284.4,415.3,459.0,503.5,327.4,226.7
capital_improvement,96.8,91.5,90.1,74.6,65.7,63.7,50.5,42.0,34.3,23.8,16.8,9.8
industrial_commercial_dev,3.8,3.8,3.8,4.1,4.1,4.1,4.1,4.1,4.1,3.5,3.5,3.6
total_capital_funds,100.6,95.3,93.9,78.7,69.8,67.8,54.6,46.1,38.4,27.3,20.3,13.4
total_fund_equity,334.7,397.1,461.5,367.0,227.3,311.2,339.0,461.4,497.4,530.7,347.7,240.1
