category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,9.2,8.5,6.5,6.0,5.8,34.3,64.1,346.5,114.7,34.2,14.0,11.1
wage_earnings_net_profits,137.7,114.0,115.3,134.3,119.4,112.0,170.0,109.4,132.9,165.9,133.3,121.6
realty_transfer_tax,38.3,29.0,20.8,27.5,28.7,21.8,36.9,25.0,19.1,24.8,20.2,21.1
sales_tax,28.6,29.0,12.0,11.9,14.6,12.7,11.9,15.8,13.0,11.4,14.0,26.4
birt,6.9,6.9,16.4,14.9,0.9,6.1,29.4,-2.2,40.3,274.8,38.2,1.0
beverage_tax,6.9,6.5,6.7,7.6,6.1,6.0,6.5,5.8,5.5,6.5,7.2,7.5
other_taxes,10.2,9.5,12.2,10.3,9.7,10.2,9.8,11.1,9.2,11.3,10.1,9.5
locally_generated_non_tax,24.3,29.4,21.4,30.7,24.1,27.8,26.5,27.6,20.2,26.6,25.8,23.2
total_other_govts,22.9,52.3,77.9,59.9,16.8,7.0,15.2,11.8,15.4,10.2,13.7,14.0
total_pica_other_govts,25.8,37.2,29.7,17.2,41.8,13.1,62.7,29.2,39.0,56.6,44.4,44.7
interfund_transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5
total_current_revenue,310.7,322.5,318.8,320.3,267.9,250.9,432.8,580.2,409.2,622.3,320.9,310.7
prior_year_revenue,40.9,0.2,12.5,-2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,351.6,322.6,331.4,317.6,267.9,250.9,432.8,580.2,409.2,622.3,320.9,310.7
