category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,9.2,8.5,6.5,6.0,7.7,15.3,53.1,371.5,123.5,29.0,12.7,8.4
wage_earnings_net_profits,137.7,114.0,115.3,134.3,119.7,110.7,150.2,117.9,131.2,153.4,124.8,113.0
realty_transfer_tax,38.3,29.0,20.8,27.5,17.2,17.9,16.9,13.1,18.9,19.5,19.0,21.3
sales_tax,28.6,29.0,12.0,11.9,14.6,13.1,13.5,15.8,12.4,12.2,14.6,18.4
birt,6.9,6.9,16.4,14.9,2.6,8.3,13.1,6.2,53.2,248.0,67.3,8.3
beverage_tax,6.9,6.5,6.7,7.6,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9
other_taxes,10.2,9.5,12.2,10.3,9.8,9.3,9.2,11.3,7.8,15.4,10.6,9.5
locally_generated_non_tax,24.3,29.4,21.4,30.7,21.6,20.5,25.3,24.6,28.3,23.0,27.3,26.4
total_other_govts,22.9,52.3,77.9,59.9,17.5,6.4,6.8,13.3,13.5,9.5,11.9,15.0
total_pica_other_govts,25.8,37.2,29.7,17.2,38.4,41.0,33.8,27.5,52.3,42.7,42.4,39.7
interfund_transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5
total_current_revenue,310.7,322.5,318.8,320.3,257.2,250.6,329.7,609.2,449.1,560.7,338.6,298.4
prior_year_revenue,40.9,0.2,12.5,-2.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,351.6,322.6,331.4,317.6,257.2,250.6,329.7,609.2,449.1,560.7,338.6,298.4
