category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
payroll,56.9,143.2,100.9,101.8,108.2,98.3,103.9,96.6,139.5,91.3,108.1,108.5
employee_benefits,35.0,41.0,32.8,36.5,26.9,35.1,34.2,34.1,38.6,37.9,34.1,54.5
pension,360.2,-1.7,-2.1,17.1,-1.1,-1.7,2.1,-2.1,-1.8,53.4,-1.6,-1.6
purchases_of_services,27.4,56.0,92.4,91.4,117.3,59.7,102.1,88.8,102.5,98.4,95.0,52.5
materials_equipment,2.3,5.3,8.0,2.1,4.9,3.7,4.8,5.1,5.3,4.1,6.3,7.6
contributions_indemnities,9.0,5.7,8.8,1.4,5.5,6.6,2.2,2.7,7.7,17.5,17.1,21.5
debt_service_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1
debt_service_long,1.2,2.3,18.8,0.7,6.4,0.8,6.8,10.3,18.9,1.4,12.9,4.1
interfund_charges,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7
advances_misc_payments,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_year_appropriation,523.8,251.8,259.6,250.9,268.2,204.5,256.2,235.5,310.7,303.9,271.9,290.7
prior_year_expenditures_against_encumbrances,54.5,24.5,12.8,9.4,6.0,6.6,13.7,2.4,4.9,7.1,1.8,1.1
prior_year_salaries_vouchers_payable,68.0,11.4,3.5,1.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_disbursements,646.3,287.7,275.9,261.8,274.8,211.1,269.9,237.9,315.7,311.0,273.7,291.8
