category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
payroll,84.7,108.3,105.6,149.2,139.0,113.8,111.6,104.9,106.5,143.5,106.1,127.8
employee_benefits,34.0,42.6,41.0,76.8,49.5,35.2,41.5,37.3,56.2,47.8,38.0,41.5
pension,3.7,-5.0,4.7,56.2,-5.5,-3.6,-5.7,120.4,511.6,-2.5,-3.1,-3.6
purchases_of_services,35.1,60.7,58.2,75.2,63.0,50.1,47.9,64.9,62.3,64.7,56.9,58.0
materials_equipment,2.6,4.6,8.3,5.9,4.9,4.8,6.5,4.7,6.4,6.6,10.9,9.0
contributions_indemnities,16.6,3.0,11.0,5.4,90.3,38.2,3.7,5.4,8.9,4.9,17.9,3.0
debt_service_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
debt_service_long,8.2,64.0,0.1,0.0,5.5,17.0,22.4,-0.3,0.1,0.0,0.1,5.0
interfund_charges,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,9.0
advances_misc_payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,1.8,27.3
current_year_appropriation,185.1,278.1,228.9,368.7,346.6,255.5,227.7,337.2,752.1,274.7,244.1,277.4
prior_year_expenditures_against_encumbrances,39.3,17.5,11.8,12.2,2.3,1.4,4.4,1.4,4.4,0.7,2.4,2.0
prior_year_salaries_vouchers_payable,20.1,20.4,-19.3,25.4,20.2,-14.2,12.1,-14.9,-93.2,94.2,0.0,0.0
total_disbursements,244.4,316.0,221.5,406.2,369.2,242.6,244.3,323.7,663.3,369.6,246.5,279.4
