category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,9.7,6.4,6.5,5.2,5.2,10.7,29.8,157.6,139.9,20.6,10.4,10.8
wage_earnings_net_profits,99.6,103.7,85.0,85.9,107.1,87.4,102.1,105.2,90.6,89.9,98.7,83.9
realty_transfer_tax,14.8,16.7,12.6,10.0,6.7,8.9,8.9,5.4,7.3,7.5,5.9,5.9
sales_tax,11.0,13.1,10.6,10.3,11.7,9.5,11.5,12.1,9.6,9.7,9.5,9.4
birt,-1.3,3.7,15.4,7.6,-2.7,17.1,12.2,3.8,32.6,186.0,88.8,12.6
other_taxes,6.3,9.1,7.2,7.6,9.5,6.4,7.6,5.8,6.4,10.5,6.6,7.3
locally_generated_non_tax,18.5,23.7,39.7,14.0,20.7,15.2,17.3,22.5,22.1,19.1,31.5,31.3
total_other_govts,46.0,65.2,73.9,80.9,19.0,20.3,21.0,122.0,19.6,58.0,104.8,61.0
total_pica_other_govts,29.6,0.0,20.2,44.3,21.6,0.0,37.3,31.4,0.0,46.1,26.6,15.5
interfund_transfers,0.4,0.4,43.7,0.5,0.5,43.6,0.4,0.4,10.7,0.0,14.0,21.3
total_current_revenue,234.6,242.0,314.8,266.3,199.3,219.1,248.1,466.2,338.8,447.4,396.6,258.9
prior_year_revenue,85.5,45.2,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,-8.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,312.1,279.2,314.8,272.5,199.3,219.1,248.1,466.2,338.8,447.4,396.6,258.9
