category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
general_fund,441.3,289.8,204.3,244.9,216.6,181.3,136.5,348.6,430.2,545.7,450.5,384.0
grants_revenue,64.7,86.5,71.8,82.4,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
community_development,-15.9,-5.3,-4.7,-8.9,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,0.0
vehicle_rental_tax,5.2,5.7,3.8,4.2,4.6,5.0,5.4,5.8,6.2,4.1,4.5,4.9
other_funds,8.2,10.1,8.8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
total_operating_funds,503.5,386.8,284.0,331.6,293.2,258.3,213.9,426.4,508.4,621.8,527.0,467.9
capital_improvement,154.0,148.9,141.2,136.2,130.2,124.2,116.2,108.2,100.2,92.2,84.2,76.2
industrial_commercial_dev,4.7,4.7,5.0,4.1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
total_capital_funds,158.7,153.6,146.2,140.3,135.2,129.2,121.2,113.2,105.2,97.2,89.2,81.2
total_fund_equity,662.2,540.4,430.2,471.9,428.4,387.5,335.1,539.6,613.6,719.0,616.2,549.1
