category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
payroll,60.0,151.2,105.8,105.3,112.6,103.4,153.9,101.5,105.4,95.0,113.0,151.0
employee_benefits,37.7,45.2,35.8,37.5,37.3,46.3,51.7,36.6,46.6,34.6,40.0,31.6
pension,3.7,383.0,-2.6,8.0,-2.1,-1.9,1.4,-1.7,-1.6,58.7,-1.7,13.5
purchases_of_services,23.9,73.0,82.6,101.7,79.4,81.5,99.9,67.3,107.3,83.2,123.1,87.3
materials_equipment,5.6,6.5,6.6,4.7,5.6,5.4,5.4,6.1,6.9,6.4,6.1,2.5
contributions_indemnities,16.1,5.3,7.8,0.3,3.1,8.3,0.7,5.3,0.4,8.1,40.3,18.3
debt_service_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
debt_service_long,6.1,2.3,16.8,0.7,7.9,2.6,6.6,6.6,18.1,3.6,14.0,1.4
interfund_charges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,0.0,0.0,32.2
advances_misc_payments,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_year_appropriation,185.6,646.5,255.0,258.3,243.8,243.8,319.6,221.7,281.8,289.7,334.8,347.9
prior_year_expenditures_against_encumbrances,60.3,37.7,12.3,8.0,3.4,3.6,4.5,4.8,4.7,5.3,4.3,4.5
prior_year_salaries_vouchers_payable,67.9,46.3,11.9,0.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_disbursements,313.9,730.5,279.2,287.0,247.5,247.5,324.2,226.4,288.4,294.9,339.2,352.4
