category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
general_fund,342.1,401.0,372.5,482.9,484.4,440.0,535.6,804.9,513.8,736.4,634.6,533.9
grants_revenue,-123.7,-63.2,-55.9,-116.6,-180.8,-271.3,-246.3,-299.3,-367.9,-353.6,-310.4,-246.2
community_development,-4.1,-3.4,-4.7,-1.6,-4.4,-5.4,-5.3,-8.3,-2.2,2.6,5.4,-10.1
vehicle_rental_tax,6.4,7.0,1.6,2.1,2.6,3.0,3.4,3.7,4.1,4.5,4.9,5.4
hospital_assessment_fund,11.2,26.5,34.0,12.6,12.5,15.1,14.3,13.5,20.0,13.7,41.3,14.1
housing_trust_fund,25.9,26.8,27.7,28.7,29.4,30.1,30.0,30.3,30.7,31.0,31.9,31.0
other_funds,8.7,9.0,7.8,7.9,7.9,7.6,7.5,7.5,7.0,7.2,7.1,7.8
total_operating_funds,266.5,403.7,383.1,416.0,351.6,219.1,339.0,552.4,205.5,441.7,414.7,336.0
capital_improvement,114.2,114.6,105.2,98.5,89.6,78.6,71.0,61.5,54.4,51.3,41.8,30.3
industrial_commercial_dev,5.1,5.1,5.4,5.4,5.4,5.4,5.4,5.4,9.6,9.6,9.6,9.6
total_capital_funds,119.3,119.7,110.7,104.0,95.0,84.0,76.4,66.9,64.0,60.9,51.4,39.9
total_fund_equity,385.8,523.4,493.7,520.0,446.7,303.1,415.5,619.3,269.6,502.6,466.2,375.9
