category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,7.8,9.5,6.1,7.0,7.3,14.4,48.9,281.2,160.9,23.4,14.9,10.0
wage_earnings_net_profits,109.9,131.7,110.1,125.7,114.5,96.7,157.2,107.9,133.1,142.2,129.3,113.2
realty_transfer_tax,25.6,19.0,17.8,22.8,16.8,20.0,19.5,14.2,21.0,17.8,24.1,23.3
sales_tax,25.1,27.3,11.7,11.8,13.8,11.9,11.3,15.2,11.4,11.1,13.6,19.2
birt,1.9,5.9,11.6,16.2,4.0,14.5,12.7,0.2,55.8,281.6,45.4,8.2
beverage_tax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,6.2,7.0,6.5,6.9
other_taxes,9.9,12.7,9.2,10.2,9.7,9.5,9.8,8.9,9.7,12.0,8.8,9.1
locally_generated_non_tax,25.0,28.0,23.5,21.7,28.7,21.2,28.9,22.5,31.5,22.8,32.7,21.8
total_other_govts,11.9,57.3,78.7,62.8,7.5,6.5,12.0,12.6,14.3,13.5,14.5,14.7
total_pica_other_govts,29.7,33.8,31.8,17.8,31.3,39.0,31.8,25.5,50.3,40.7,40.4,13.3
interfund_transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1
total_current_revenue,246.7,325.1,300.5,296.0,233.6,233.8,332.1,494.0,494.0,572.1,330.3,267.8
prior_year_revenue,24.7,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,271.4,325.1,300.5,301.3,233.7,233.8,332.1,494.0,494.0,572.1,330.3,267.8
