category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
general_fund,-18.7,138.3,189.2,112.7,117.2,245.7,321.5,620.2,317.5,405.0,326.1,280.7
grants_revenue,123.7,136.9,61.2,58.7,-3.4,-67.3,-88.0,-112.7,-79.7,-83.2,-17.8,-70.2
community_development,-9.3,-0.7,0.3,-0.1,2.2,1.0,4.4,3.1,-4.5,-0.8,-3.1,-5.7
vehicle_rental_tax,6.3,6.9,7.4,7.9,8.2,8.6,9.0,9.3,9.7,10.1,5.5,5.9
hospital_assessment_fund,5.2,5.0,6.6,6.2,5.9,7.7,7.4,7.3,9.3,8.8,32.0,10.1
housing_trust_fund,11.2,11.6,11.9,11.9,11.9,9.8,9.9,10.3,10.3,10.7,11.1,11.6
other_funds,29.4,14.5,19.7,16.6,18.2,57.3,12.7,60.9,10.9,14.8,12.1,26.6
total_operating_funds,147.7,312.6,296.3,213.9,160.3,262.7,277.0,598.5,273.5,365.2,365.9,259.1
capital_improvement,201.0,193.2,183.6,176.3,169.1,160.2,155.3,146.6,127.1,125.5,116.8,109.5
industrial_commercial_dev,3.4,3.4,3.4,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.8
total_capital_funds,204.3,196.6,186.9,180.0,172.8,163.8,159.0,150.3,130.8,129.2,120.5,113.3
total_fund_equity,352.0,509.2,483.2,393.9,333.1,426.6,436.0,748.7,404.3,494.4,486.4,372.4
