category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
payroll,87.6,106.0,112.7,104.1,103.9,155.5,104.7,105.4,124.7,105.4,105.4,131.8
employee_benefits,39.1,41.1,40.2,41.2,42.4,36.1,36.3,39.2,39.9,36.2,37.3,36.5
pension,3.7,-2.8,13.4,49.2,-2.8,1.7,-2.7,0.0,203.7,86.7,0.0,0.0
purchases_of_services,22.2,29.6,92.6,129.4,101.7,90.5,79.2,87.0,102.9,86.8,86.7,70.1
materials_equipment,1.5,1.5,5.9,6.2,4.1,3.1,6.9,7.0,8.2,8.8,8.0,7.1
contributions_indemnities,5.7,0.5,11.5,9.8,2.4,10.7,2.6,6.0,8.4,11.0,28.0,27.5
debt_service_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
debt_service_long,8.5,29.7,0.0,5.0,5.7,6.4,16.8,7.3,3.4,6.2,8.7,5.2
interfund_charges,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
advances_misc_payments,0.0,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
current_year_appropriation,168.6,230.3,276.3,344.9,257.4,304.0,243.8,251.9,491.4,341.1,274.1,285.4
prior_year_expenditures_against_encumbrances,46.1,0.0,16.5,36.6,4.9,16.6,2.8,6.2,5.9,5.0,5.6,2.9
prior_year_salaries_vouchers_payable,50.2,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_disbursements,264.9,243.3,292.8,381.5,262.3,320.6,246.6,258.1,497.2,346.1,279.7,288.3
