category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,5.9,7.0,5.2,3.9,4.5,13.5,34.0,195.7,95.7,22.4,15.8,9.8
wage_earnings_net_profits,95.8,99.8,76.1,90.2,98.9,84.8,105.4,86.0,94.4,95.8,107.3,96.9
realty_transfer_tax,10.9,9.7,9.8,8.9,9.1,12.6,9.0,6.6,9.1,9.7,9.5,9.8
sales_tax,10.0,11.9,9.9,9.4,10.7,15.5,18.2,22.3,19.8,16.4,22.0,21.3
birt,5.0,8.1,8.5,8.5,-7.5,8.8,6.7,5.8,18.5,141.9,137.8,34.6
other_taxes,7.8,9.5,7.2,6.6,9.4,7.9,6.6,8.1,5.5,10.0,7.8,8.3
locally_generated_non_tax,18.4,19.8,16.7,18.0,18.8,20.1,19.9,19.0,23.4,18.1,23.6,35.9
total_other_govts,4.0,54.8,56.6,164.0,24.6,13.6,17.5,69.5,70.0,87.3,50.9,75.3
total_pica_other_govts,25.0,19.9,16.4,25.3,26.6,20.2,44.0,25.5,35.0,23.3,29.8,16.2
interfund_transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.9,0.6,2.0
total_current_revenue,182.8,240.5,206.4,334.8,195.1,197.0,261.3,439.6,372.4,425.9,405.1,310.0
prior_year_revenue,14.5,84.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,197.3,325.2,221.4,334.8,195.1,197.0,261.3,439.6,372.4,425.9,405.1,310.0
