category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
general_fund,409.9,351.5,333.4,259.1,298.2,243.8,273.3,572.3,290.9,360.7,333.0,291.6
grants_revenue,-117.0,-14.1,-64.8,-71.1,-74.0,-115.3,-106.1,-137.9,-74.1,-63.1,-96.1,-69.8
community_development,-3.1,-6.4,-2.5,-0.1,-2.6,-0.9,-3.0,-3.5,-6.2,-2.5,-5.0,-6.8
vehicle_rental_tax,7.3,7.8,2.4,2.8,5.6,5.9,6.3,6.7,5.6,6.0,5.4,5.9
hospital_assessment_fund,12.4,12.1,46.0,12.7,7.2,12.3,8.0,7.6,17.8,8.7,23.0,18.1
housing_trust_fund,18.6,18.5,18.8,19.4,15.9,15.3,15.1,15.3,15.0,14.5,14.3,14.2
other_funds,15.3,11.4,17.2,14.5,24.2,27.8,13.6,20.2,3.2,14.6,18.0,33.0
total_operating_funds,343.3,380.7,350.5,237.4,274.5,188.9,207.3,480.6,252.3,339.0,292.6,286.2
capital_improvement,146.2,137.7,124.6,119.6,112.1,104.6,97.1,89.6,82.1,74.6,67.1,59.6
industrial_commercial_dev,4.1,4.1,4.1,4.1,4.3,3.9,3.9,3.9,3.9,3.8,3.8,3.7
total_capital_funds,150.2,141.8,128.6,123.7,116.4,108.5,101.0,93.5,86.0,78.4,70.9,63.3
total_fund_equity,493.6,522.5,479.2,361.1,390.9,297.4,308.3,574.1,338.3,417.4,363.5,349.6
