category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,8.3,7.8,7.5,7.4,5.8,14.9,43.8,312.1,105.2,21.3,8.2,5.1
wage_earnings_net_profits,117.0,97.3,96.6,124.8,98.7,102.9,125.5,109.9,110.8,141.4,106.8,97.5
realty_transfer_tax,15.8,17.0,20.0,13.3,13.6,15.3,13.7,10.4,15.5,14.9,16.3,18.6
sales_tax,22.3,22.2,10.8,10.5,13.3,12.6,13.0,14.9,11.7,12.0,14.3,13.4
birt,4.1,1.9,17.7,7.1,-1.3,7.6,11.4,7.0,44.6,230.3,114.3,8.6
other_taxes,7.9,10.3,8.6,7.4,8.1,7.7,7.3,8.1,6.4,13.5,8.0,7.4
locally_generated_non_tax,26.4,19.2,19.4,24.8,22.2,20.1,20.5,23.8,726.9,18.1,24.2,24.4
total_other_govts,2.4,48.4,66.0,69.6,12.1,7.9,14.7,11.4,18.5,9.6,10.5,10.5
total_pica_other_govts,24.8,13.7,31.1,26.5,31.9,24.6,31.9,28.3,36.2,28.2,32.8,22.6
interfund_transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.5
total_current_revenue,228.9,237.8,277.6,291.3,204.3,213.6,281.7,526.0,1075.8,489.2,349.4,212.6
prior_year_revenue,10.3,8.7,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,239.2,246.5,277.6,303.1,204.3,213.6,281.7,526.0,1075.8,489.2,349.4,212.6
