category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
payroll,84.7,108.3,105.6,149.2,138.6,106.0,114.2,105.7,105.7,143.9,105.7,130.3
employee_benefits,34.0,42.6,41.0,76.8,41.0,39.5,43.1,39.5,39.5,54.9,39.5,49.8
pension,3.7,-5.0,4.7,56.2,-1.8,3.7,3.7,122.5,372.7,110.7,-1.8,-1.8
purchases_of_services,35.1,60.7,58.2,75.2,59.5,57.2,50.1,56.6,61.8,71.4,50.5,51.5
materials_equipment,2.6,4.6,8.3,5.9,5.9,6.2,6.6,5.1,5.9,7.4,5.9,6.2
contributions_indemnities,16.6,3.0,11.0,5.4,82.4,44.8,3.5,3.6,10.2,3.1,1.0,1.0
debt_service_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
debt_service_long,8.2,64.0,0.1,0.0,0.3,5.5,11.5,29.5,0.6,0.3,0.0,4.6
interfund_charges,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,9.0
advances_misc_payments,0.0,0.0,0.0,0.0,0.0,27.8,1.6,1.6,1.6,1.6,1.6,1.6
current_year_appropriation,185.1,278.1,228.9,368.7,325.9,290.7,234.3,364.1,597.9,393.2,202.8,257.1
prior_year_expenditures_against_encumbrances,39.3,17.5,11.8,12.2,5.9,5.7,5.5,5.4,2.7,2.0,1.5,1.4
prior_year_salaries_vouchers_payable,20.1,20.4,-19.3,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_disbursements,244.4,316.0,221.5,406.2,331.9,296.4,239.8,369.5,600.5,395.2,204.3,258.5
