category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
general_fund,410.4,351.9,334.2,260.2,402.0,321.0,364.2,652.7,337.1,547.7,416.4,367.4
grants_revenue,-117.0,-14.1,-64.8,-71.1,-105.7,-161.0,-183.6,-223.6,-272.7,-270.3,-136.1,-109.8
community_development,-3.1,-6.4,-2.5,-0.1,-3.5,-2.6,-7.9,-5.2,-5.1,-3.5,-5.0,-6.8
vehicle_rental_tax,7.3,7.8,2.4,2.8,3.4,3.7,4.0,4.3,4.7,5.2,5.4,5.9
hospital_assessment_fund,12.4,12.1,46.0,12.7,12.5,18.6,9.6,9.4,45.5,10.3,23.0,18.1
housing_trust_fund,18.6,18.5,18.8,19.4,19.8,24.0,18.2,17.8,18.1,18.1,14.3,14.2
other_funds,15.3,11.4,17.2,14.5,35.1,27.7,14.4,17.8,6.3,6.5,18.0,33.0
total_operating_funds,343.7,381.2,351.2,238.5,363.6,231.4,218.9,473.3,134.1,313.9,336.0,322.0
capital_improvement,146.2,137.7,124.6,119.6,113.2,103.2,92.6,84.6,76.4,69.4,61.9,54.4
industrial_commercial_dev,4.1,4.1,4.1,4.1,4.4,4.4,4.4,4.4,4.4,4.4,3.8,3.7
total_capital_funds,150.2,141.8,128.6,123.7,117.6,107.6,97.0,89.0,80.8,73.8,65.7,58.1
total_fund_equity,494.0,522.9,479.9,362.2,481.1,339.0,315.9,562.3,214.9,387.7,401.7,380.1
