category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,5.9,7.0,5.2,3.9,4.5,13.5,34.0,235.2,71.5,11.7,7.8,13.2
wage_earnings_net_profits,95.8,99.8,76.1,0.2,98.9,84.8,105.4,98.3,97.2,99.1,101.4,84.4
realty_transfer_tax,10.9,9.7,9.8,8.9,9.1,12.6,9.0,5.4,8.8,9.9,10.6,14.0
sales_tax,10.0,11.9,9.9,9.4,10.1,15.5,18.2,22.3,16.6,18.3,17.4,19.6
birt,5.0,8.1,8.5,8.5,-7.5,8.8,6.7,2.6,34.9,210.9,65.6,24.6
other_taxes,7.8,9.5,7.2,6.6,9.4,7.9,6.6,5.7,6.4,12.5,7.8,7.4
locally_generated_non_tax,18.4,19.8,16.7,18.0,18.8,20.1,19.9,16.7,23.0,16.6,23.8,35.6
total_other_govts,4.0,54.8,56.6,164.0,24.6,13.6,17.5,22.0,4.6,8.9,152.5,124.6
total_pica_other_govts,25.0,19.9,16.4,25.3,26.6,20.2,44.0,28.3,31.5,19.5,29.1,21.4
interfund_transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,0.6,4.2
total_current_revenue,182.8,240.5,206.4,334.8,195.1,197.0,261.3,436.5,294.5,419.5,416.5,348.9
prior_year_revenue,14.5,84.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,197.3,325.2,221.4,334.8,195.1,197.0,261.3,436.5,294.5,419.5,416.5,348.9
