category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
payroll,56.9,143.2,100.9,102.1,110.1,100.2,151.9,98.4,102.2,92.1,110.5,98.8
employee_benefits,35.0,41.0,32.8,33.8,33.6,41.7,46.8,33.0,42.0,31.2,36.0,48.2
pension,360.2,-1.7,-2.1,17.3,-2.0,-1.8,1.3,-1.6,-1.8,57.5,-1.6,-46.0
purchases_of_services,27.4,56.0,92.4,98.3,76.7,78.8,96.5,65.0,103.7,80.4,119.0,70.5
materials_equipment,2.3,5.3,8.0,4.6,5.5,5.3,5.3,6.0,8.0,6.3,1.2,1.3
contributions_indemnities,9.0,5.7,8.8,1.3,4.0,7.2,0.7,5.2,2.4,9.0,39.8,19.4
debt_service_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1
debt_service_long,1.2,2.3,18.8,0.7,7.5,0.8,6.3,5.3,19.0,0.8,13.3,8.6
interfund_charges,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,1.0
advances_misc_payments,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_year_appropriation,523.8,251.8,259.6,258.1,235.4,232.2,308.6,211.3,305.5,277.3,324.2,256.3
prior_year_expenditures_against_encumbrances,54.5,24.5,12.8,8.5,6.1,3.4,4.3,4.5,4.4,5.0,4.1,1.9
prior_year_salaries_vouchers_payable,68.0,11.4,3.5,1.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_disbursements,646.3,287.7,275.9,268.1,242.1,235.6,312.9,215.8,309.9,282.3,328.3,258.2
