category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,8.6,9.3,6.9,7.0,5.2,31.9,64.8,368.3,147.7,31.2,15.3,5.9
wage_earnings_net_profits,159.2,114.7,128.7,156.6,121.8,126.1,188.7,130.0,146.8,168.0,137.0,123.7
realty_transfer_tax,31.2,30.0,21.2,38.7,27.6,30.1,22.1,18.3,24.5,31.3,30.7,32.5
sales_tax,28.0,34.8,13.9,13.8,15.5,14.4,12.3,16.6,13.2,13.2,28.5,30.0
birt,10.3,8.7,19.7,19.6,6.1,30.5,17.7,6.4,42.8,325.6,44.2,9.4
beverage_tax,6.8,6.7,6.8,7.7,5.1,7.0,6.4,5.5,5.6,6.1,6.3,6.2
other_taxes,9.7,10.5,14.1,10.0,10.8,11.1,11.8,10.3,9.7,13.5,10.5,9.7
locally_generated_non_tax,34.2,31.5,27.4,31.5,40.6,32.9,28.1,30.0,33.0,33.4,32.1,33.8
total_other_govts,9.9,54.7,90.8,52.5,15.4,7.3,5.4,17.7,8.4,6.6,6.0,9.3
total_pica_other_govts,33.0,44.7,32.7,45.8,21.1,57.5,40.9,51.3,54.3,44.7,44.4,47.0
interfund_transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5
total_current_revenue,330.7,345.6,362.1,383.3,269.3,348.8,398.0,654.4,486.0,673.6,355.0,332.9
prior_year_revenue,10.9,2.5,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,341.6,348.1,362.1,387.2,269.3,348.8,398.0,654.4,486.0,673.6,355.0,333.0
