category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
general_fund,677.1,696.4,747.4,602.0,564.8,515.8,543.5,922.2,548.4,902.7,973.3,966.4
grants_revenue,24.4,84.5,35.8,77.9,-14.3,-83.6,-41.2,98.4,38.8,52.4,-15.7,-21.9
community_development,-4.5,-9.8,-7.6,-7.9,-4.1,-7.8,-9.6,-5.6,-0.7,0.1,1.5,-6.3
vehicle_rental_tax,5.8,6.4,0.1,0.6,1.2,1.7,2.1,2.5,2.9,3.3,3.8,4.4
hospital_assessment_fund,17.4,17.5,25.9,18.1,17.8,45.8,19.1,18.6,28.1,20.0,37.7,23.0
housing_trust_fund,35.5,35.6,36.7,36.1,36.5,36.6,56.5,57.1,57.1,58.0,57.3,58.0
budget_stabilization_fund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other_funds,8.5,9.4,8.8,8.7,8.8,8.7,8.7,8.4,8.8,8.6,7.8,8.3
total_operating_funds,764.2,840.0,847.1,735.5,610.6,517.2,579.1,1101.7,683.3,1045.0,1065.6,1031.8
capital_improvement,174.4,158.1,152.1,136.7,132.2,116.3,102.0,94.2,77.3,51.1,36.5,44.0
industrial_commercial_dev,9.9,9.9,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0
total_capital_funds,184.3,168.0,162.0,146.6,142.2,126.2,111.9,104.2,87.3,61.1,46.5,54.1
total_fund_equity,948.4,1008.0,1009.1,882.1,752.7,643.4,691.0,1205.9,770.6,1106.0,1112.2,1085.9
