category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,8.7,9.5,6.5,6.7,5.4,22.3,52.2,390.9,145.1,31.8,13.2,9.2
wage_earnings_net_profits,142.8,119.6,122.3,145.1,113.4,119.1,170.3,118.3,140.5,177.8,132.3,112.9
realty_transfer_tax,38.0,30.7,20.0,29.2,22.6,26.3,25.3,13.9,23.6,41.7,28.4,30.9
sales_tax,25.9,27.8,14.7,13.3,14.4,13.3,12.9,15.5,12.3,12.3,24.2,28.5
birt,5.6,2.3,15.8,16.7,1.3,12.8,27.2,7.9,44.8,355.6,46.2,12.4
beverage_tax,7.1,6.5,6.6,6.6,7.0,5.6,6.2,5.8,5.9,6.3,7.0,6.4
other_taxes,10.9,14.6,9.4,10.3,11.4,9.2,11.3,9.5,9.5,14.1,11.7,9.6
locally_generated_non_tax,27.0,28.3,27.5,22.7,30.8,22.2,32.2,19.4,37.0,30.5,39.6,35.9
total_other_govts,3.3,63.5,80.2,53.9,23.8,7.2,7.7,8.2,5.3,13.1,6.0,9.4
total_pica_other_govts,34.1,41.6,25.4,36.8,49.8,38.6,39.4,37.2,46.3,45.6,62.3,29.7
interfund_transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9
total_current_revenue,303.4,344.3,328.3,341.2,279.9,276.8,384.8,626.7,470.2,728.8,370.9,309.8
prior_year_revenue,32.3,23.3,16.4,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,335.7,367.6,344.7,351.9,279.9,276.8,384.8,626.7,470.2,728.8,370.9,309.8
