category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
payroll,73.4,186.7,138.4,144.4,129.4,130.7,202.3,124.5,128.6,124.5,139.5,120.5
employee_benefits,47.8,48.5,49.6,51.5,48.9,66.8,47.0,45.7,52.2,53.5,49.4,62.4
pension,3.7,-5.7,4.2,69.6,-5.5,-2.3,-5.3,-1.7,606.2,17.0,-0.3,-0.3
purchases_of_services,38.0,55.6,55.4,63.1,84.9,62.9,55.7,56.2,96.8,52.4,87.4,50.3
materials_equipment,3.6,3.8,8.0,7.1,4.2,5.6,5.6,6.2,7.0,7.6,8.1,7.9
contributions_indemnities,16.7,5.5,56.3,5.6,15.8,48.2,4.7,3.6,55.5,5.7,4.4,57.6
debt_service_short,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1
debt_service_long,111.0,0.5,0.0,0.0,10.1,7.2,29.2,0.5,0.0,0.1,0.8,0.0
interfund_charges,3.8,0.0,0.0,0.0,2.6,0.0,19.1,0.0,0.0,0.0,0.5,24.1
advances_misc_payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_year_appropriation,298.0,294.8,312.0,341.4,290.4,319.0,358.5,235.1,946.4,260.7,289.6,322.6
prior_year_expenditures_against_encumbrances,39.1,25.7,17.8,11.6,5.4,5.6,8.0,2.0,6.1,2.3,2.2,0.4
prior_year_salaries_vouchers_payable,90.5,27.8,-36.1,144.2,21.3,1.2,-9.5,11.0,-108.4,111.5,8.4,-6.3
total_disbursements,427.6,348.2,293.7,497.2,317.1,325.8,357.0,248.0,844.0,374.5,300.2,316.7
