category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
payroll,72.3,178.4,118.0,122.1,127.0,120.8,120.8,120.2,168.1,120.2,120.2,130.7
employee_benefits,57.1,43.5,53.1,47.0,43.3,42.4,46.1,45.8,66.0,46.8,46.8,51.3
pension,3.7,-7.8,4.5,60.4,-6.3,-2.5,-7.0,-5.6,485.4,108.5,-3.1,-2.6
purchases_of_services,38.2,34.9,64.9,97.6,46.0,76.9,57.8,63.9,79.8,85.9,60.5,82.3
materials_equipment,3.1,2.5,8.1,6.0,5.8,4.7,6.9,7.7,9.8,9.9,9.2,11.1
contributions_indemnities,13.9,2.3,11.9,6.2,2.0,14.1,7.7,5.3,11.5,5.5,104.4,4.5
debt_service_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0
debt_service_long,92.3,0.5,0.0,0.0,13.2,8.5,22.9,0.5,0.1,0.0,0.0,11.4
interfund_charges,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,5.0
advances_misc_payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_year_appropriation,280.6,254.6,260.6,339.3,231.0,264.8,255.2,237.8,820.8,376.8,343.1,293.8
prior_year_expenditures_against_encumbrances,32.6,22.7,10.8,5.0,2.9,2.9,2.8,5.8,5.4,2.5,0.9,1.8
prior_year_salaries_vouchers_payable,63.3,-11.1,57.6,21.7,-1.8,10.4,-21.5,21.5,0.0,0.0,0.0,0.0
total_disbursements,376.5,266.2,329.0,366.0,232.1,278.2,236.5,265.1,826.1,379.3,344.0,295.6
