category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
general_fund,231.4,218.6,227.8,226.5,166.6,65.2,-8.8,161.9,211.7,321.6,46.5,21.8
grants_revenue,168.9,145.2,53.5,74.2,54.5,34.7,30.0,30.0,30.0,35.0,35.0,35.0
community_development,-13.2,-4.8,-8.8,-11.3,-11.3,-11.3,-9.0,-9.0,-9.0,-7.0,-7.0,-7.0
vehicle_rental_tax,5.7,6.3,4.3,4.7,5.0,5.4,5.7,6.0,6.3,6.6,4.1,4.4
other_funds,9.9,22.9,11.2,9.0,12.0,11.7,9.0,9.0,9.0,9.0,9.0,9.0
total_operating_funds,402.7,388.2,288.0,303.1,226.8,105.7,26.9,197.9,248.0,365.2,87.6,63.2
capital_improvement,66.6,61.0,57.8,46.6,48.7,37.0,186.8,178.8,170.8,162.8,154.8,146.8
industrial_commercial_dev,4.3,4.3,4.9,5.5,5.6,4.5,4.5,4.5,4.5,4.5,4.5,4.5
total_capital_funds,70.9,65.3,62.7,52.1,54.3,41.5,191.3,183.3,175.3,167.3,159.3,151.3
total_fund_equity,473.6,453.5,350.7,355.2,281.1,147.2,218.2,381.2,423.3,532.5,246.9,214.5
