category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
general_fund,-59.8,22.1,220.7,174.0,127.8,22.4,49.3,239.6,119.3,196.2,39.4,34.5
grants_revenue,59.3,106.0,44.0,44.2,55.0,40.0,55.0,50.0,40.0,40.0,35.0,35.0
community_development,-8.9,-4.9,-3.3,-4.3,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
vehicle_rental_tax,5.5,6.0,3.5,3.9,4.4,4.9,5.3,5.7,3.6,4.1,4.6,5.1
hospital_assessment_fund,4.0,4.0,4.0,28.8,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0
housing_trust_fund,21.1,21.8,21.2,20.7,18.0,16.0,16.0,14.0,14.0,12.0,12.0,10.0
other_funds,6.0,12.6,20.0,15.6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
total_operating_funds,27.2,167.6,310.1,282.9,213.2,91.3,133.6,317.3,184.9,258.3,97.0,90.6
capital_improvement,165.5,172.9,164.7,155.1,145.1,138.1,131.1,124.1,117.1,110.1,103.1,96.1
industrial_commercial_dev,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
total_capital_funds,170.0,177.4,169.2,159.6,149.6,142.6,135.6,128.6,121.6,114.6,107.6,100.6
total_fund_equity,197.2,345.0,479.3,442.5,362.8,233.9,269.2,445.9,306.5,372.9,204.6,191.2
