category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
general_fund,217.0,305.8,297.3,308.1,260.9,155.4,164.5,335.6,210.6,222.3,32.7,104.0
grants_revenue,111.5,108.1,104.3,100.9,105.7,94.4,50.0,50.0,50.0,40.0,40.0,40.0
community_development,-1.3,-5.0,-4.1,-6.3,-5.0,1.2,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
vehicle_rental_tax,5.2,5.7,2.2,2.6,3.1,3.5,7.6,8.0,5.9,6.4,6.9,7.4
hospital_assessment_fund,4.2,3.6,35.1,5.0,4.7,6.5,2.0,2.0,2.0,2.0,2.0,2.0
housing_trust_fund,16.6,16.4,16.8,17.2,15.0,14.7,12.0,14.0,14.0,14.0,12.0,12.0
other_funds,26.5,20.6,16.8,16.8,46.5,26.2,9.0,9.0,9.0,9.0,9.0,9.0
total_operating_funds,379.7,455.2,468.4,444.3,430.9,301.9,243.1,416.6,289.5,291.7,100.6,172.4
capital_improvement,124.3,122.1,111.6,105.6,99.3,90.9,80.9,70.9,60.9,50.9,190.3,180.3
industrial_commercial_dev,4.8,4.8,5.1,5.1,5.1,3.2,4.5,4.5,4.5,4.5,4.5,4.5
total_capital_funds,129.1,126.9,116.7,110.7,104.4,94.1,85.4,75.4,65.4,55.4,194.8,184.8
total_fund_equity,508.8,582.1,585.1,555.0,535.3,396.0,328.5,492.0,354.9,347.1,295.4,357.2
